title,price,ratings,stars,shipping+tax,brand,series,screenSize,color,hard_disk_size,cpu_model,ram,OS,card_description,graphics_coprocessor
"ASUS Vivobook Go 12 L210 11.6” Ultra-Thin Laptop, 2022 Version, Intel Celeron N4020, 4GB RAM, 64GB eMMC, Win 11 Home in S Mode with One Year of Office 365 Personal, L210MA-DS02",$249.99,262 ratings,4.0 out of 5 stars, $409.51 Shipping & Import Fees Deposit to Bangladesh ,ASUS,ASUS Laptop L210,11.6 Inches,Star Black,64 GB,Celeron,4 GB,Windows 11 S,Integrated,
"ASUS ROG Strix Scar 15 Gaming Laptop, 15.6""  300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 16GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 11, G533QS-DS94","$1,899.00",122 ratings,4.3 out of 5 stars," $2,601.86 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ROG Strix Scar 15,15.6 Inches,Gray,1 TB,Ryzen 9,16 GB,Windows 11 Home,RTX 3080,
"Acer Predator Helios 300 Gaming Laptop | 12th Gen Intel i7-12700H | GeForce RTX 3060 GPU | 17.3"" Full HD 144Hz 3ms IPS Display | 16GB DDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PH317-56-70XJ",,"3,625 ratings",4.6 out of 5 stars,,Acer,PH317-56-70XJ,17.3 Inches,Black,,Core i7,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060
"MSI GF63 Thin 9SC-614 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1650, 8GB, 512GB NVMe SSD, Win10",$639.99,362 ratings,4.5 out of 5 stars, $943.27 Shipping & Import Fees Deposit to Bangladesh ,MSI,GF63 THIN 9SC-614,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 10,Dedicated,GTX 1650 MaxQ
"SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i7 / 16GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite","$1,149.00",217 ratings,4.4 out of 5 stars," $1,563.55 Shipping & Import Fees Deposit to Bangladesh ",SAMSUNG,"Galaxy Book2 Pro 15.6"" i7/16G/512G Graphite",15.6 Inches,Graphite,512 GB,Core i7,16 GB,Windows 11 Home,Integrated,
"ASUS ROG Flow Z13 (2022) Gaming Laptop Tablet, 13.4” 120Hz FHD+ Display, NVIDIA GeForce RTX 3050, Intel Core i7-12700H, 16GB LPDDR5, 512GB PCIe SSD, Free Bundle Detachable RGB Keyboard, GZ301ZC-PS73","$1,399.00",87 ratings,4.5 out of 5 stars," $1,906.08 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ROG Flow Z13 Gaming Laptop,13.4 Inches,Black,512 GB,Intel Core i7 Extreme,16 GB,Windows 11 Home,RTX 3050,NVIDIA GeForce RTX 3050
"MSI GF63 Thin 3050 Gaming Laptop, 15.6"" FHD 144Hz IPS Display, 11th Gen Core i5-11400H, GeForce RTX 3050 4GB, 16GB DDR4 RAM, 1TB PCIe SSD, USB-C, RJ45, WiFi 6, Backlit Keyboard, Win 11",,13 ratings,3.9 out of 5 stars,,MSI,,15.6 Inches,Black,1 TB,Core i5,16 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3050
"MSI Pulse GL66 Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD, Win10, Black (11UGK-001)","$1,389.01","3,324 ratings",4.6 out of 5 stars," $1,907.85 Shipping & Import Fees Deposit to Bangladesh ",MSI,Pulse GL66 11UGK-001,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,RTX 3070,NVIDIA GeForce RTX 3070
"StarTech.com USB C Multiport Adapter - Portable USB-C Dock with 4K HDMI - 100W PD 3.0 Pass-Through, 1x USB-A, 1x USB-C, GbE - Thunderbolt 3 & USB Type-C Laptop Travel Dock - Mac & Windows (DKT30CHCPD)",$79.79,32 ratings,4.2 out of 5 stars, $43.97 Shipping & Import Fees Deposit to Bangladesh ,StarTech,,,Black,,,,,,
"MSI Creator 15 Professional Laptop: 15.6"" UHD OLED 4K DCI-P3 100% Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3080, 16GB RAM, 1TB NVME SSD, Thunderbolt 4, Win10 PRO, Black (A11UH-492)",,91 ratings,3.8 out of 5 stars," $3,205.87 Shipping & Import Fees Deposit to Bangladesh ",MSI,Creator 15 A11UH-492,15.6 Inches,Black,1 TB,Core i7 Family,16 GB,Microsoft Windows 10 Professional (64-Bit),RTX 3080,NVIDIA GeForce RTX 3080
"ASUS TUF Gaming A17 (2022) Gaming Laptop, 17.3” 144Hz FHD IPS-Type Display, AMD Ryzen 7 6800H CPU, GeForce RTX 3060 GPU, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, Mecha Gray, FA707RM-ES73",,10 ratings,3.5 out of 5 stars,,ASUS,TUF Gaming A17,17.3 Inches,Gray,,Ryzen 7,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060
"Lenovo Legion Gaming Laptop, 15.6"" FHD 120Hz, AMD 6-Core Ryzen 5 5600H (Beat i9-10980HK), GeForce RTX 3050 Ti, 16GB RAM, 1TB PCIe SSD, USB-C, HDMI, RJ45, WiFi 6, Backlit, with HDMI 2.1 Cable, Win 11",,3 ratings,5.0 out of 5 stars,,Lenovo,,15.6 Inches,Phantom Blue,1 TB,Ryzen 5,16 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3050 Ti
"ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6â€  240Hz FHD, GeForce RTX 3070, Intel Core i7-11375H, 16GB DDR4, 1TB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Moonlight White, TUF516PR-DS77-WH","$1,499.99",43 ratings,4.3 out of 5 stars," $2,046.02 Shipping & Import Fees Deposit to Bangladesh ",ASUS,TUF Dash 15 (2021),15.6,Moonlight White,1 TB,Core i7,16 GB,Windows 10 Home,RTX 3070,
"Corsair Voyager a1600 Gaming Laptop (AMD Ryzen R9 6900HS, AMD Radeon RX 6800M, 32GB DDR5, 16"" 2560x1600 240Hz IPS Screen, Cherry MX Ultra-Low Profile Keyswitches, Windows 11 Home Advanced) Black","$2,299.99",4 ratings,2.9 out of 5 stars," $3,104.85 Shipping & Import Fees Deposit to Bangladesh ",Corsair,VOYAGER a1600,16 Inches,Black,2 TB,Ryzen 9,32 GB,Windows 11 Home,Dedicated,AMD Radeon RX 6800M
"ASUS Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F",$209.99,275 ratings,4.1 out of 5 stars, $378.03 Shipping & Import Fees Deposit to Bangladesh ,ASUS,ASUS Chromebook CX1,15.6 Inches,Silver,64 GB,Celeron N3350,8 GB,Chrome OS,Integrated,
"Alienware x17 R1, 17.3 inch FHD 360Hz Non-Touch Gaming Laptop - Intel Core i7-11800H, 16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 10 Home - Lunar Light",,34 ratings,3.8 out of 5 stars,,Alienware,Alienware x17 R1,17.3 Inches,White,1 TB,Core i7 Family,16 GB,Windows 10 Home,RTX 3060,NVIDIA GeForce RTX 3060
"MSI GF65 Thin 10UE Gaming Laptop: 15.6"" 144hz IPS-Level Screen, Intel 10th Gen i5-10500H, NVIDIA GeForce RTX3060, 512GB SSD, 8GB Memory, Black",$799.00,51 ratings,4.3 out of 5 stars," $1,147.49 Shipping & Import Fees Deposit to Bangladesh ",MSI,GF65,15.6 Inches,,512 GB,Xeon Platinum 8160M,8 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3060
"Acer Nitro 5 AN517-55-72R4 Gaming Laptop | Intel Core i7-12700H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Red Backlit KB","$1,299.99","3,702 ratings",4.5 out of 5 stars," $1,805.01 Shipping & Import Fees Deposit to Bangladesh ",Acer,AN517-55-72R4,17.3 Inches,Black,1 TB,Core i7,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050 Ti
"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: Intel Core i7-13620H, RTX 4070, 16GB DDR5, 1TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US","$1,599.00",,," $2,179.77 Shipping & Import Fees Deposit to Bangladesh ",MSI,Katana 15 B13VGK-484US,15.6 Inches,Black,,Core i7,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 4070
"MSI Creator Z16 Professional Laptop: 16"" QHD+ 16:10 120Hz Touch Display, Intel Core i9-11900H, NVIDIA GeForce RTX 3060, 32GB RAM, 2TB NVME SSD, Thunderbolt 4, Win10 PRO, Lunar Gray (A11UET-043)","$2,841.16",67 ratings,4.0 out of 5 stars," $3,769.33 Shipping & Import Fees Deposit to Bangladesh ",MSI,Creator Z16 A11UET-043,16 Inches,Black,2 TB,Core i9,32 GB,Windows 10 Pro,Dedicated,NVIDIA GeForce RTX 3060
"Acer Nitro 5 Gaming Laptop, 10th Gen Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Ti, 15.6"" Full HD IPS 144Hz Display, 8GB DDR4,256GB NVMe SSD,WiFi 6, DTS X Ultra,Backlit Keyboard,AN515-55-59KS",,"1,694 ratings",4.6 out of 5 stars,,Acer,AN515-55-59KS,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Home,Integrated,NVIDIA GeForce GTX 1650 Ti
"LG Gram (2022) 15Z90Q Ultra Lightweight Laptop, 15"" (1920x1200) IPS Touch Display, Intel 12th Gen i7 1260P Processor, 32GB LPDDR5, 1TB NVMe SSD, FHD Webcam, WiFi 6E, Thunderbolt 4, Windows 11, Gray","$1,396.99",35 ratings,4.4 out of 5 stars," $1,884.44 Shipping & Import Fees Deposit to Bangladesh ",LG,15Z90Q-P.ADS9U1,15,Gray,1 TB,Core i7,32 GB,Windows 11 Home,Intel XE,
"MSI Raider GE66 15.6"" QHD 240Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Home: Titanium Blue 12UGS-238","$1,799.00",9 ratings,4.3 out of 5 stars," $2,450.71 Shipping & Import Fees Deposit to Bangladesh ",MSI,Raider GE66 12UGS-238,15.6 Inches,Titanium Blue,1 TB,Core i7,32 GB,Windows 11 Home,Dedicated,
"MSI Stealth GS77 17.3"" UHD 4K 120Hz Ultra Thin & Light Gaming Laptop: Intel Core i9-12900H RTX 3080 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, CNC Aluminum, Win11 Pro: Core Black 12UHS-040","$3,199.00",22 ratings,4.0 out of 5 stars," $4,246.02 Shipping & Import Fees Deposit to Bangladesh ",MSI,Stealth GS77 12UHS-040,17.3 Inches,Core Black,1 TB,Core i9,32 GB,Windows 11 Pro,RTX 3080 Ti,
"MSI Raider GE66 15.6"" QHD 240Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Home: Titanium Blue 12UHS-236","$2,499.00",1 rating,5.0 out of 5 stars," $3,340.85 Shipping & Import Fees Deposit to Bangladesh ",MSI,Raider GE66 12UHS-236,15.6 Inches,Titanium Blue,1 TB,Core i7,32 GB,Windows 11 Home,Dedicated,
"EXCaliberPC 2022 MSI Vector GP76 12UHSO-893 (i9-12900H, 64GB RAM, 2TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" 240Hz QHD, Windows 11) Gaming Laptop","$2,699.00",,,,EXCaliberPC,Vector GP76 12UHSO,17.3 Inches,64GB RAM,2 TB,Intel Core i9,64 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3080 Ti
"MSI Stealth 17 Studio 17.3"" QHD 240Hz Gaming Laptop: Intel Core i9-13900H, RTX 4080, 32GB DDR5, 1TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost Trinity+, Win11 Home: Core Black A13VH-053US",,,,,MSI,Stealth 17Studio A13VH-053US,17.3 Inches,Core Black,,Core i9,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 4080
"ASUS ROG Zephyrus Duo 16 (2022) Gaming Laptop, 16” 165Hz ROG Nebula HDR QHD 16:10 Display, NVIDIA GeForce RTX 3070 Ti, AMD Ryzen 9 6900HX, 32GB DDR5, 1TB SSD, Windows 11, GX650RW-XS96","$2,899.99",77 ratings,4.0 out of 5 stars," $3,879.01 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ASUS ROG Zephyrus Duo 16,16 Inches,Black,1,Ryzen 9,32 GB,Microsoft Windows 11 Professional,RTX 3070 Ti,NVIDIA GeForce RTX 3070
"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73","$1,245.84",849 ratings,4.5 out of 5 stars," $1,720.53 Shipping & Import Fees Deposit to Bangladesh ",ASUS,TUF Dash 15 (2022),15.6 Inches,Off Black,512 GB,Core i7,16 GB,Windows 11 Home,RTX 3060,NVIDIA GeForce RTX 3060
ASUS 2022 TUF Dash F15 Gaming Laptop 15.6” 144Hz FHD Display 12th Intel i7-12650H 10-Core 32GB DDR5 1TB SSD NVIDIA GeForce RTX 3070 8GB GDDR6 WiFi 6 Thunderbolt Backlit KB RJ45 Win 10 Pro w/RATZK USB,,2 ratings,5.0 out of 5 stars,,ASUS,FX517ZR,15.6 Inches,Off Black,1 TB,Core i7 Family,32 GB,Windows 10 Pro,Dedicated,
"ASUS ROG Strix Flare II Animate 100% RGB Gaming Keyboard - Hot-swappable, ROG NX Brown Tactile Switches, Customizable LED Display, PBT Keycaps, Acoustic Dampening Foam, Media Controls, Wrist Rest",$219.99,43 ratings,4.8 out of 5 stars, $88.89 Shipping & Import Fees Deposit to Bangladesh ,ASUS,,,NX Brown,,,,"Windows 7, Windows 10",,
Crucial RAM 64GB Kit (2x32GB) DDR5 4800MHz CL40 Laptop Memory CT2K32G48C40S5,$247.99,734 ratings,4.8 out of 5 stars, $55.99 Shipping & Import Fees Deposit to Bangladesh ,Crucial,,,,,,,,,
"Targus Portable Chill Mat HD3 Gaming with 3 Ultra-Quiet Fans and Integrated Airflow Ventilation Prevents Overheating, LED USB Port, Cooling Pad for up to 18-Inch Laptop, Black (AWE57US)",$71.99,"7,390 ratings",4.3 out of 5 stars, $230.54 Shipping & Import Fees Deposit to Bangladesh ,Targus,,,Black,,,,,,
"2022 HP Omen 16.1"" QHD 165 Hz IPS Gaming Laptop 12th Intel i7-12700H 14-Core 32GB DDR5 1TB NVMe SSD NVIDIA GeForce RTX 3060 6GB 4-Zone RGB Backlit KB Thunderbolt 4 WiFi 6E Win 11 Pro w/RATZK 32GB USB",,7 ratings,4.6 out of 5 stars,,HP,16T-K000,16.1 Inches,Shadow Black,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 3060
"ASUS VivoBook S14 S433 Thin and Light Laptop, 14” FHD Display, Intel Core i5-1135G7 CPU, 8GB DDR4 RAM, 512GB SSD, Thunderbolt 3, Wi-Fi 6, Windows 10, AI Noise-Cancellation, Dreamy White, S433EA-DH51",$729.97,166 ratings,4.4 out of 5 stars," $1,036.05 Shipping & Import Fees Deposit to Bangladesh ",ASUS,VivoBook S14,14 Inches,Dreamy White,512 GB,Intel Core i5-1135G7,8 GB,Windows 10,Integrated,
"MSI 2022 GL76 Pulse 17.3"" 360 Hz FHD Gaming Laptop 12th Intel i7-12700H 14-Core 32GB DDR4 1TB NVMe SSD NVIDIA GeForce RTX 3070 8GB RGB Backlit KB DTS Audio Windows 11 Pro WiFi 6 w/ RATZK 32GB USB",,2 ratings,5.0 out of 5 stars,,MSI,GL76-12UGK,17.3 Inches,Core Black,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Dedicated,
"MSI Prestige 14 Evo Laptop: 14"" FHD Ultra-Thin Bezel Display, Intel Core i7-1195G7, Intel Iris Xe, 16GB RAM, 512GB NVMe SSD, Thunderbolt 4, Win 10 Home, Carbon Gray (A11MO-052)",$887.28,79 ratings,4.4 out of 5 stars," $1,239.20 Shipping & Import Fees Deposit to Bangladesh ",MSI,Prestige 14Evo A11MO-052,14 Inches,Carbon Gray,512 GB,Core i7 Family,16 GB,Win 10 Multi-language /Free upgrade to Win 11,Iris Xe,
"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6” 4K Touch Display, Intel Core i9-12900H, 32GB RAM, 1TB SSD, GeForce RTX 3070 Ti, ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX582ZW-XB99T",,10 ratings,4.7 out of 5 stars,,ASUS,ZenBook Pro Duo 15 OLED,15.6 Inches,Blue,1 TB,Core i9,32 GB,Windows 11 Pro,RTX 3070 Ti,
"Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 4GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P9G7",$289.99,444 ratings,4.3 out of 5 stars, $473.42 Shipping & Import Fees Deposit to Bangladesh ,Acer,CP314-1H-P9G7,14 Inches,Silver,,Pentium,4 GB,Chrome OS,Integrated,Intel UHD Graphics
"Nixeus Revel-X Gaming Mouse with Pixart PMW 3370 Gaming Grade Flawless 19000 DPI Sensor (Matte Black), (REV-BK21X)",$37.95,4 ratings,3.8 out of 5 stars, $38.16 Shipping & Import Fees Deposit to Bangladesh ,Nixeus,,,,,,,,,
"2022 HP Victus Gaming Laptop, 15.6-Inch 144Hz FHD Display, 12th Gen Core i5-12450H(Beat R7 5800H), 16GB 3200 RAM, 1TB PCIe SSD, NVIDIA GeForce GTX 1650, WiFi 6, Backlit KB, RJ-45, HDMI, Win 11 H",,70 ratings,4.2 out of 5 stars,,HP,,15.6 Inches,Black,1 TB,Intel Core i5,16 GB,Windows 11 Home,Integrated,NVIDIA GeForce GTX 1650
"ASUS Chromebook CX9, 14"" Touchscreen FHD NanoEdge Display, Intel Core i7-1165G7 Processor, 512GB SSD, 16GB RAM, USI Stylus Support, NumberPad, Chrome OS, Magnesium-Alloy, Star Black, CX9400CEA-DS762T","$1,149.99",3 ratings,3.8 out of 5 stars," $1,579.42 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ASUS Chromebook CX9,14 Inches,Star Black,512 GB,Intel Core i7,16 GB,Chrome OS,Integrated,Intel Iris Xe Graphics
"ASUS VivoBook Pro 16X OLED Slim Laptop, 16"" 4K 16:10 Display, AMD Ryzen 9 6900H CPU, NVIDIA GeForce RTX 3050 Ti, 32GB RAM, 1TB SSD, Windows 11 Home, 0°Black, M7600RE-XB99,Gray","$1,649.99",28 ratings,3.8 out of 5 stars," $2,282.61 Shipping & Import Fees Deposit to Bangladesh ",ASUS,ASUS VivoBook Pro 16X OLED,16 Inches,Gray,1 TB,Ryzen 9,32 GB,Windows 11 Home,RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti
"MSI Pulse GL76 17.3"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGK-256",,3 ratings,4.3 out of 5 stars,,MSI,Pulse GL76 12UGK-256,17.3 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3070
"Newest Alienware m15 R5 15.6"" 360Hz FHD 1ms Gaming Laptop, AMD Ryzen 9 5900HX (8 cores), GeForce RTX 3070, 64GB RAM, 4TB PCIe SSD, HDMI, WiFi 6, RGB Keyboard, Win 11 Home, Dark Side of The Moon",,12 ratings,3.5 out of 5 stars,,Dell,M,15.6 Inches,Black,4 TB,AMD R Series,64 GB,Windows 11,GeForce RTX 3070,NVIDIA GeForce RTX 3070
"GIGABYTE AORUS 17 YE5: 17.3"" FHD 1920x1080 IPS-Level Display, Intel Core i7-12700H, NVIDIA GeForce RTX 3080 Ti Laptop GPU 16GB GDDR6, 32GB DDR5 RAM, 1TB SSD, Win11 Home (AORUS 17 YE5-74US544SH)","$1,929.00",,," $2,619.04 Shipping & Import Fees Deposit to Bangladesh ",GIGABYTE,AORUS 17 YE5-74US544SH,17.3 Inches,Black,,Core i7,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3080
"ASUS 2022 TUF Dash 15.6"" 144 Hz FHD Gaming Laptop 10-Core Intel i7-12650H 64GB DDR4 2TB NVMe SSD NVIDIA GeForce RTX3070 8GB GDDR6 WiFi AX HDMI RJ45 Thunderbolt4 Backlit KB Windows 11 Home w/ RE USB","$1,999.99",3 ratings,4.3 out of 5 stars,,ASUS,FX517ZR,15.6 Inches,Off Black,2 TB,Core i7 Family,64 GB,Windows 11 Home,Dedicated,Nvidia GeForce RTX 3070 6GB
"Gateway 14"" FHD Ultra Slim Laptop, 11th Gen Intel 4-Core i5-1135G7, Intel Iris Xe Graphics, 16GB RAM, 512GB SSD, Tuned by THX, USB-C, HDMI, WiFi, FP Reader, Webcam, SPS HDMI Cable, Win 10",,2 ratings,5.0 out of 5 stars,,Gateway,,14 Inches,Silver,512 GB,Core i5,16 GB,Windows 10,Integrated,Intel Iris Xe Graphics
"8K HDMI 2.1 Cable 3ft, TechDuck Premium Braided 28AWG High Speed 8K@60Hz 4K@120Hz/144Hz 48Gbp HDMI Cord, Dynamic HDR eARC/ARC Dolby, Certified UHD HDMI to HDMI Cable for Gaming/Monitor/Ultra HD TV",$10.99,34 ratings,5.0 out of 5 stars, $193.56 Shipping & Import Fees Deposit to Bangladesh ,TechDuck,,,,,,,,,
"2022 MSI Sword 15.6"" Gaming Laptop, 144Hz IPS Level FHD, Intel Core i7-11800H 8-Core, 64GB RAM, 2TB NVMe SSD, NVIDIA GeForce RTX 3050 Ti 4GB GDDR6, Backlit Keyboard, Windows 11 Pro w/ 32GB USB",,,,,MSI,Sword Thin,15.6 Inches,White,2 TB,Core i7 Family,64 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 3050 Ti
"Targus Portable Chill Hub with High Speed Fans Ventilation Prevents Overheating, 4-Port USB Hub, Rubber grips, Cooling Pad for up to 17-Inch Laptop (AWE84US)",$56.27,"7,390 ratings",4.3 out of 5 stars, $51.72 Shipping & Import Fees Deposit to Bangladesh ,Targus,,,Gray,,,,,,
"MSI 2022 GE76 Raider 17.3"" 144 Hz FHD Gaming Laptop 14-Core Intel i9-12900H 64GB DDR5 2TB NVMe SSD NVIDIA GeForce RTX3060 6GB WiFi AX HDMI RJ45 Thunberbolt4 Backlit DTS RGB Windows 11 Home w/ RE USB","$2,399.99",99 ratings,4.2 out of 5 stars,,MSI,GE76 12UE,17.3 Inches,Titanium Blue,2 TB,Intel Core i9,64 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060
Crucial RAM 32GB Kit (2x16GB) DDR5 4800MHz CL40 Laptop Memory CT2K16G48C40S5,$122.86,734 ratings,4.8 out of 5 stars, $41.88 Shipping & Import Fees Deposit to Bangladesh ,Crucial,,,,,,,,,
"Targus 17"" inch Dual Fan Lap Chill Mat Plus - Ergonomic, Neoprene Laptop Cooling Pad, Heat Protection Laptop Cooler, Dual-fan Heat Dispersion, 4 Port USB Hub Laptop Fan, (AWE81US) Black",$51.69,"7,390 ratings",4.3 out of 5 stars, $139.36 Shipping & Import Fees Deposit to Bangladesh ,Targus,,,Black,,,,,,
"SAMSUNG Galaxy Book Odyssey Laptop Computer, 15.6”, 32GB, 1TB, Intel Core i7 Processor, Customized Gaming, Full HD Screen, Pro Keyboard, Surround Sound, US Version, Mystic Black","$1,684.27",34 ratings,4.2 out of 5 stars," $2,267.35 Shipping & Import Fees Deposit to Bangladesh ",SAMSUNG,Galaxy Book Odyssey,15.6 Inches,Mystic Black,1 TB,Intel Core i7,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050 Ti
"MSI Titan GT77 17.3"" UHD 120Hz Gaming Laptop: Intel Core i7-12800HX RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost Titan, Win11 Pro: Core Black 12UGS-009",,7 ratings,4.4 out of 5 stars,,MSI,TITAN GT77 12UGS-009,17.3 Inches,Blue,1 TB,Core i7,32 GB,Windows 11 Pro,Dedicated,
"Dell 2023 G15 15.6"" 120Hz FHD Gaming Laptop 14-Core Intel i7-12700H 64GB DDR5 4TB NVMe SSD NVIDIA GeForce RTX 3060 6GB GDDR6 Thunderbolt4 HDMI2.1 WiFi AX BT RJ-45 Backlit KB Webcam Windows 10 Home","$2,319.99",6 ratings,5.0 out of 5 stars,,Dell,G15,15.6 Inches,Black,4 TB,Core i7 Family,64 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060
"HP 2022 Omen 16.1"" 165 Hz IPS QHD Gaming Laptop 14-Core Intel i7-12700H 32GB DDR5 1TB NVMe SSD NVIDIA GeForce RTX 3060 6GB DTS Audio RGB KB WiFi AX Thunderbolt4 HDMI RJ45 Windows 10 Pro w/ RE USB",,,,,HP,16-K000,15.6 Inches,Shadow Black,1 TB,Core i7 Family,32 GB,Windows 10 Pro,Dedicated,Nvidia GeForce RTX 3050 Ti 6GB
"MSI Raider GE67Hx 15.6"" OLED QHD 240Hz Gaming Laptop: Intel Core i9-12900HX RTX 3080 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Pro: Titanium Blue 12UHS-069",,1 rating,5.0 out of 5 stars,,MSI,Raider GE67HX 12UHS-069,15.6 Inches,Gray,1 TB,Core i9,32 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3080
"MSI Creator 17 Professional Laptop: 17.3"" UHD 120Hz 100% Adobe RGB Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB RAM, 1TB NVME SSD, Thunderbolt 4, Win10 PRO, Core Black (B11UG-494)","$2,536.98",31 ratings,3.7 out of 5 stars," $3,390.28 Shipping & Import Fees Deposit to Bangladesh ",MSI,Creator 17 B11UG-494,17.3 Inches,Core Black,1 TB,Core i7 Family,16 GB,Microsoft Windows 10 Professional (64-Bit),RTX 3070,NVIDIA GeForce RTX 3070
"Cat 8 Ethernet Cable 10ft, Gigabit High Speed 40Gbps Braided 26AWG Heavy Duty Internet LAN Cable, Shielded Cat8 SFTP RJ45 Network Patch Cord, 4X Faster Than Cat 7/6/6a/6e/5e/5 for Gaming",$12.99,25 ratings,4.7 out of 5 stars, $208.46 Shipping & Import Fees Deposit to Bangladesh ,TechDuck,,,,,,,,,
"USB Computer Microphone with Mute/Volume Button,Plug&Play Condenser,Desktop, PC, Laptop, Mac, PS4 Mic LED Indicator -360 Gooseneck Design -Recording, YouTube, Gaming, Streaming (Omnidirectional)",$12.99,1 rating,5.0 out of 5 stars, $108.56 Shipping & Import Fees Deposit to Bangladesh ,FingerLakes,,,Black,,,,,,
